1098512171,zzL954883045,3,南阳,我感觉挺好的,5.0,2020-04-13 20:10:59
1098418973,tGj953761788,3,贵阳,非常棒，我给满分,5.0,2020-04-11 10:35:21
1098397559,lucky小枫,1,郑州,好看优秀 好看,5.0,2020-04-10 15:09:21
1098382865,Vsy814053375,1,武汉,常府街跑路费训,5.0,2020-04-10 09:27:38
1098352945,Loki.炼狱,1,呼和浩特,小偷家族 这个电影还可以吧,2.5,2020-04-09 18:53:27
1098368179,maomaolang007,1,广州,好，很好，非常好。,5.0,2020-04-09 17:16:39
1098316332,玖玖原来是仙女,2,沈阳,好看好看好看,5.0,2020-04-08 14:28:24
1098305928,吴炜1973,1,乌兰察布,感觉还不错。,5.0,2020-04-08 13:49:17
1098258841,wxq的宝贝儿子,2,永康,非常好的影片。,4.5,2020-04-06 23:35:23
1098240221,love庚29,1,淮安,太爱是枝裕和了！！超级温暖的一部电影。,5.0,2020-04-06 12:07:00
1098242115,Kilis酱,2,湘潭,太棒了，很好看,5.0,2020-04-06 01:22:35
1098079368,GY龚玉,1,荆州,不错，挺好看的,4.5,2020-04-02 09:46:40
1098075526,银桑的胖次gin,3,孝感,还不错，哭戏绝了,4.0,2020-04-01 19:36:47
1098005450,GzJ563395724,2,福州,还好啦 不错的,4.0,2020-03-30 20:00:45
1097969689,二锦锦锦,2,张家界,又一部小清新小平淡中带着些许的心酸的电影，好看！,5.0,2020-03-29 19:45:53
1097964062,救世主,3,安岳,挺好的，，，,5.0,2020-03-29 16:13:33
1097961129,方方君905,2,南京,好看，看哭了,5.0,2020-03-29 15:39:05
1097956182,Shane （Саша ）,1,天津,要不是无所事事，我可能真坐不住看这样一部日本电影。不爱看日本电影是因为节奏太慢，冲着这部电影去年得了很多大奖，慕名的看一下。看完之后心里有种淡淡的温暖的感觉。没有血缘关系也可以是一家人。,4.0,2020-03-29 13:03:29
1097885715,Leviwyx,1,张家口,真的非常的棒,5.0,2020-03-28 00:07:06
1097897112,冷月兔711,1,上海,爱你，再见。,5.0,2020-03-27 16:31:01
1097851994,VIK934235993,1,威海,不想写评论，偏要我写，不写不让我提交，不提交就总让我评价，真讨厌,5.0,2020-03-26 11:45:32
1097795019,旋叶狐尾藻,1,昆明,亦然温暖亦然沉默亦然如此这般……,5.0,2020-03-24 12:46:45
1097771368,饺子和蚊子,1,重庆,是枝裕和无烂片,5.0,2020-03-23 17:07:49
1097751908,夏目漱石的大猫,1,深圳,太無奈了吧。,5.0,2020-03-23 00:09:10
1097740704,易鹤鹤_,1,盘锦,没什么感觉…我看的时候快睡过去了…,0.5,2020-03-22 16:15:08
1097734133,singing_rib2525,2,湘西,人间 大家都要好好的,3.5,2020-03-22 11:28:40
1097697978,zuxiaoo,1,岳阳,这是我看过最好的电影，没有之一！故事用平淡的口吻来诉说。总是一个小镜头也可以直接打动人心。我几乎是从头哭到了尾。每一帧都是精品。太喜欢这部电影了！！！,5.0,2020-03-22 00:05:48
